Measurement_ID,Date,Time,Value,Unit
9133,2025-02-14,10:08:14,81200,LUX     
9134,2025-02-14,10:13:14,82900,LUX     
9135,2025-02-14,10:18:14,84500,LUX     
9136,2025-02-14,10:23:14,85900,LUX     
9137,2025-02-14,10:28:14,87800,LUX     
9138,2025-02-14,10:33:14,89700,LUX     
9139,2025-02-14,10:38:14,89000,LUX     
9140,2025-02-14,10:43:14,91500,LUX     
9141,2025-02-14,10:48:14,93900,LUX     
9142,2025-02-14,10:53:14,93500,LUX     
9143,2025-02-14,10:58:14,94000,LUX     
9144,2025-02-14,11:03:14,93800,LUX     
9145,2025-02-14,11:08:14,95000,LUX     
9146,2025-02-14,11:13:14,99999,LUX     
9147,2025-02-14,11:18:14,99999,LUX     
9148,2025-02-14,11:23:14,99300,LUX     
9149,2025-02-14,11:28:14,99999,LUX     
9150,2025-02-14,11:33:14,99999,LUX     
9151,2025-02-14,11:38:14,61200,LUX     
9152,2025-02-14,11:43:14,99999,LUX     
9153,2025-02-14,11:48:14,99999,LUX     
9154,2025-02-14,11:53:14,99999,LUX     
9155,2025-02-14,11:58:14,99999,LUX     
9156,2025-02-14,12:03:14,99999,LUX     
9157,2025-02-14,12:08:14,99999,LUX     
9158,2025-02-14,12:13:14,99999,LUX     
9159,2025-02-14,12:18:14,99999,LUX     
9160,2025-02-14,12:23:14,99999,LUX     
9161,2025-02-14,12:28:14,99999,LUX     
9162,2025-02-14,12:33:14,99999,LUX     
9163,2025-02-14,12:38:14,99999,LUX     
9164,2025-02-14,12:43:14,99999,LUX     
9165,2025-02-14,12:48:14,99999,LUX     
9166,2025-02-14,12:53:14,99999,LUX     
9167,2025-02-14,12:58:14,99999,LUX     
9168,2025-02-14,13:03:14,99999,LUX     
9169,2025-02-14,13:08:14,99999,LUX     
9170,2025-02-14,13:13:14,99999,LUX     
9171,2025-02-14,13:18:14,40000,LUX     
9172,2025-02-14,13:23:14,25000,LUX     
9173,2025-02-14,13:28:14,99999,LUX     
9174,2025-02-14,13:33:14,99999,LUX     
9175,2025-02-14,13:38:14,23300,LUX     
9176,2025-02-14,13:43:14,19500,LUX     
9177,2025-02-14,13:48:14,21600,LUX     
9178,2025-02-14,13:53:14,30100,LUX     
9179,2025-02-14,13:58:14,29400,LUX     
9180,2025-02-14,14:03:14,37300,LUX     
9181,2025-02-14,14:08:14,26200,LUX     
9182,2025-02-14,14:13:14,21200,LUX     
9183,2025-02-14,14:18:14,22900,LUX     
9184,2025-02-14,14:23:14,99999,LUX     
9185,2025-02-14,14:28:14,99999,LUX     
9186,2025-02-14,14:33:14,99999,LUX     
9187,2025-02-14,14:38:14,99999,LUX     
9188,2025-02-14,14:43:14,30900,LUX     
9189,2025-02-14,14:48:14,24400,LUX     
9190,2025-02-14,14:53:14,19100,LUX     
9191,2025-02-14,14:58:14,16730,LUX     
